date,language,text
2001-06-14,nob,Det gjelder bl.a. de som er syke og har behov for omsorg.
2015-02-17,nob,Utfordringen det skaper med identifikasjon – med det trusselnivået vi har i dag – er noe vi absolutt må ta på alvor og gjøre noe med.
2001-11-07,nob,Søknader om løyve og endringer i løyve for fylkeskryssende bussruter avgjøres av Samferdselsdepartementet.
2009-11-18,nno,"Dersom dei hadde vist det same engasjementet seks år tilbake, hadde det ikkje vore så mykje å ta igjen etter dei."
2011-02-22,nob,Det har man gjort når det gjelder de nasjonale prøver.
2007-03-26,nob,"Vi er også opptatt av at det skal være rett og god bemanning, og ikke minst at legedekningen blir slik som den faglig er anbefalt."
2002-12-09,nno,"I debatten har det kome klart og tydeleg fram at dei intensjonane som fleirtalet hadde med dette vedtaket, er oppfylte, at Flytoget vil bli gitt prioritet på dei omtalte strekningane."
2000-11-29,nob,Svaret kunne også vært oppnådd ved en telefon til departementet.
2003-02-12,nno,Regjeringa har lenge oversett alle åtvaringar og bagatellisert denne utviklinga.
2010-03-24,nno,"Det vil alltid vere ein diskusjon – eg trur eg nesten vil seie alltid, for det har vore slik med vekslande regjeringar bakover – om i kva grad dei ulike reformene er fullfinansierte eller ikkje."
2008-12-02,nob,"Kunnskap er viktig for å ta de rette beslutninger, for å gjøre de rette tiltak og for å nå det målet som vi alle har om at vi ikke skal ha en temperaturøkning på over 2 grader."
2012-11-22,nob,"De grunnleggende kommisjonene vi deltar i på arbeidslivets områder, vil gjelde uansett, og disse vil vi forsvare i EØS og beholde i Norge, samme hva som ellers skjer."
2007-12-03,nno,"Der er eitt avvikande forslag, og eg kan med ein gong ta det opp i og med at det er frå Framstegspartiet og Høgre."
2000-03-30,nno,"Kristeleg Folkeparti er nøgd med at det er etablert det ein kallar fadderordningar, der bedrifter får hjelp"
1999-12-09,nno,"Nå har Regjeringa fått ein rapport, og det er varsla at den vil koma tilbake til Stortinget med eventuelle forslag om konkurranse på sporet."
2008-05-21,nob,"De gamle forutsetningene som brukes for fremtidig ferjesamband, tar bl.a. ikke hensyn til sterk trafikkvekst i mange år som viser stort behov for ferjekapasitet."
2014-06-18,nob,Men da er det også naturlig at man ikke kompenseres for nedgang i skatteinntekter.
2004-02-24,nno,Hurtigruta representerer òg eit heilt naudsynt dagleg fraktmiddel for befolkninga langs strekninga.
2000-03-09,nno,"Det betyr noko tilsvarande eitt til to gasskraftverk, dersom ein får skikkeleg utteljing på det."
2003-01-29,nob,"Spørsmål 6, fra representanten Siri Hall Arnøy til utenriksministeren, vil bli tatt opp av representanten Jørund Leknes."
2013-11-06,nob,Dette handler i hovedsak om å gjøre unntak for fastlegenes listeansvar.
1999-03-04,nob,Jeg trodde vi snakket om behovet for boliger og mangel på boliger til unge og vanskeligstilte.
2006-02-28,nno,"Bergensprogrammet for transport, byutvikling og miljø skal svare på Bergen sine transport- og miljøutfordringar og avklare"
2012-06-11,nno,"Skal ein løyse fattigdomsproblema, som eg trudde kanskje SV òg var oppteke av, må energien fordelast òg blant dei fattige på jorda."
2011-10-04,nob,"Det jeg vil snakke om, dreier seg rett og slett om næringslivet."
1999-06-18,nno,Dette er kanskje ein illustrasjon på at skilnaden i prioriteringar mellom sentrum og Arbeidarpartiet er stor på enkelte område.
2001-11-28,nob,Regjeringen sier i Sem-erklæringen at den i større grad vil «ta i bruk naturgass til innenlands verdiskaping.»
2011-01-13,nob,Jeg tror ikke det offentlige hadde klart å drive de institusjonene like bra til like god pris.
2012-06-13,nob,"Når vi er ferdig med vår vurdering, vil vi selvsagt legge dette fram for Stortinget."
2008-12-15,nob,Men Regjeringen og Stortinget kan f.eks. velge å kjøpe disse kvotene på børsen.
2007-04-16,nno,"Teknologien kan gjere at fleire blir inkluderte, med t.d."
2015-02-04,nob,"Da forventer jeg at kommunene har satt seg inn i saken, at de også har tatt det inn over seg og ser den enkelte familie, og at det ikke er en dobbeltrolle ute i kommunene ved at de kjøper plasser fra private."
